Date,Price,Chg,Av_Sev,Av_OneFrty,SevOverFortyFlag,Av_Six,Av_TwenOne,SixOverTwenOneFlag,DM_P,DM_N,ATR,ADX
Jan 16-2014,19824.8,2.87,19095.840383124174,15776.694449572506,True,15053.69735567408,19142.90101715173,False,401.0,59.0,369.09333333333416,752.8817511560918
Jan 17-2014,19522.75,-1.52,19153.600988499573,15829.82998929488,True,14967.397355674082,19177.432742865214,False,235.0,-270.0,396.0700000000009,756.7219534585687
Jan 20-2014,19610.8,0.45,19189.64027123521,15883.46076958857,True,14992.554498531223,19216.829766241102,False,-421.45000000000067,-1.0,386.84333333333416,734.1649441444173
Jan 21-2014,19624.7,0.07,19228.319068600507,15936.527992714973,True,14996.525927102652,19253.908878401002,False,36.400000000001455,-138.0,382.8500000000007,745.3533725910889
Jan 22-2014,19953.0,1.67,19273.601586051678,15993.499226860857,True,15090.325927102649,19317.462616728182,False,279.04999999999933,-10.0,395.8566666666673,747.8170972902677
Jan 23-2014,19408.85,-2.73,19320.036909214712,16041.943918678435,True,14934.854498531224,19325.770560661986,False,100.0,200.0,415.27666666666727,748.4355561770167
Jan 24-2014,19249.75,-0.82,19323.629136417985,16087.444714158171,True,14889.397355674082,19318.859600601805,False,-599.0,158.79999999999927,414.9366666666671,748.0699344557178
Jan 27-2014,18804.7,-2.31,19304.376231570768,16125.987342326143,True,14762.240212816938,19272.117818728908,False,-305.04999999999933,471.20000000000067,422.34333333333365,751.7767738132763
Jan 28-2014,19034.35,1.22,19265.420133694297,16167.240713356976,True,14827.854498531224,19250.50256248083,False,-96.29999999999927,95.0,429.65666666666704,778.0541678523308
Jan 29-2014,18948.65,-0.45,19241.999673396862,16206.693327351912,True,14803.368784245513,19223.06142043712,False,1.3499999999985448,-210.29999999999927,429.3033333333338,603.0223483960482
Jan 30-2014,19030.1,0.43,19217.625887467057,16246.741648949755,True,14826.640212816936,19205.519473124652,False,97.5,185.29999999999927,452.69333333333367,309.54990937939266
Jan 31-2014,19433.95,2.12,19211.95413585353,16291.950278042668,True,14942.025927102652,19226.285884658773,False,282.5,-442.29999999999933,460.6800000000003,357.173062782853
Feb 03-2014,19676.75,1.25,19238.975014668384,16339.96162161653,True,15011.397355674082,19267.237167871608,False,320.0,-237.70000000000076,469.7166666666669,316.1206025516291
Feb 04-2014,19895.15,1.11,19284.924853283683,16390.38982556523,True,15073.797355674082,19324.32015261056,False,170.0,45.0,496.2533333333335,317.422015192106
Feb 05-2014,19925.45,0.15,19341.25338774829,16440.532523074944,True,15082.454498531222,19378.96832055505,False,105.0,-425.0,501.98666666666685,300.0776066599056
Feb 06-2014,19378.35,-2.75,19378.95090307463,16482.203692960404,True,14926.140212816936,19378.9121095955,False,-65.0,745.0,522.3866666666669,303.18302352836577
Feb 07-2014,18807.8,-2.94,19362.824444536476,16515.19087462054,True,14763.125927102652,19326.992826905,False,-810.0,298.5999999999985,511.02666666666676,298.0899480846244
Feb 10-2014,18832.65,0.13,19313.06767685134,16548.062635264218,True,14770.22592710265,19282.052569913634,False,-90.04999999999926,-53.59999999999855,518.2533333333336,329.20801545103785
Feb 11-2014,19161.95,1.75,19278.669398930157,16585.139051785296,True,14864.311641388364,19271.134154466938,False,50.04999999999927,-171.04999999999927,524.1866666666668,351.2463971471318
Feb 12-2014,19182.45,0.11,19268.636009270682,16621.980341830895,True,14870.16878424551,19263.07195860631,False,40.0,10.849999999998543,515.5733333333335,820.4440974624325
Feb 13-2014,18890.3,-1.52,19252.571340054023,16654.155088755277,True,14786.69735567408,19229.18359873301,False,-26.0,69.65000000000146,489.8700000000002,827.7521816366332
Feb 14-2014,18897.6,0.04,19219.84321567011,16685.97700238995,True,14788.783069959794,19199.039635211822,False,-125.04999999999927,127.54999999999927,493.6800000000003,917.8931226864279
Feb 17-2014,18890.7,-0.04,19190.354011684733,16717.24966902272,True,14786.811641388364,19171.008759283475,False,-9.450000000000726,-68.15000000000146,481.2400000000001,915.5737337028676
Feb 18-2014,18850.15,-0.21,19161.970484374084,16747.503574426653,True,14775.22592710265,19141.8397811668,False,-89.54999999999926,69.35000000000218,467.54000000000013,923.4131995636193
Feb 19-2014,19113.25,1.4,19141.03443521844,16781.06026131422,True,14850.397355674082,19139.24071015163,False,200.04999999999927,-30.20000000000073,479.0933333333334,872.1436943760832
Feb 20-2014,18834.3,-1.46,19130.650830992432,16810.18422923884,True,14770.69735567408,19111.518827410568,False,-6.0,-70.0,466.72666666666674,829.6912114427382
Feb 21-2014,18918.0,0.44,19106.067592835625,16840.082325278003,True,14794.611641388366,19093.926206736884,False,-73.5,-38.0,457.58000000000004,834.7944700330951
Feb 24-2014,19002.55,0.45,19091.35222908232,16870.75562562867,True,14818.768784245507,19085.619278851707,False,51.84999999999855,-70.0,441.7366666666666,830.3362254082572
Feb 25-2014,19085.75,0.44,19085.622961137582,16902.17398554883,True,14842.540212816935,19085.631162592457,False,2.6500000000014547,-81.70000000000073,406.2899999999999,832.9447400101967
Feb 26-2014,19026.55,-0.31,19083.966904491266,16932.306978661614,True,14825.625927102652,19080.260147811332,False,45.0,-8.299999999999272,394.6233333333332,917.4551962964007
Feb 28-2014,19086.75,0.32,19080.44296054904,16962.866454141593,True,14842.825927102649,19080.850134373934,False,-22.0,-20.0,334.8233333333332,878.8186073676721
Mar 03-2014,19098.75,0.06,19081.354355940864,16993.16267465022,True,14846.254498531223,19082.477394885394,False,2.0,19.799999999999272,310.56999999999994,855.1002032213696
Mar 04-2014,19633.35,2.8,19097.994933057642,17030.612140258014,True,14998.997355674082,19132.556722623085,False,499.9000000000015,-74.79999999999927,324.23333333333335,391.3030616293194
