Date,Price,Open,High,Low,Volume,Chg
Feb 06-2014,19378.35,19835.00,20060.00,18985.00,33650.0,-2.75
Feb 05-2014,19925.45,19906.00,20125.00,19730.00,12960.0,0.15
Feb 04-2014,19895.15,19470.00,20020.00,19305.00,10190.0,1.11
Feb 03-2014,19676.75,19450.00,19850.00,19350.00,11770.0,1.25
Jan 31-2014,19433.95,19287.00,19530.00,19112.30,8040.0,2.12
Jan 30-2014,19030.10,18900.00,19247.50,18670.00,4940.0,0.43
Jan 29-2014,18948.65,19000.00,19150.00,18855.30,4000.0,-0.45
Jan 28-2014,19034.35,18785.75,19148.65,18645.00,5420.0,1.22
Jan 27-2014,18804.70,19175.00,19244.95,18740.00,7680.0,-2.31
Jan 24-2014,19249.75,19549.00,19550.00,19211.20,6640.0,-0.82
