Date,Price,Chg,Av_Sev,Av_OneFrty,SevOverFortyFlag,Av_Six,Av_TwenOne,SixOverTwenOneFlag,DM_P,DM_N,TR
Jan 01-2019,66801.2,-0.27,66907.54399617377,68675.41349627603,False,28475.52592710265,66900.67857349588,False,-251.0,312.04999999998836,798.6499999999942
Jan 02-2019,66635.5,-0.25,66893.20875452417,68646.47855306644,False,28428.183069959796,66876.5714304508,False,-199.0,349.65000000000873,949.3000000000029
Jan 03-2019,66818.25,0.27,66874.928573255,68620.54623316479,False,28480.39735567408,66871.269482228,False,300.0,-308.0,941.3000000000029
Jan 04-2019,66603.15,-0.32,66863.71682075679,68591.9306837582,False,28418.940212816935,66846.89498384364,False,-50.10000000000582,257.6499999999942,1148.8499999999913
Jan 07-2019,66978.55,0.56,66850.60357584804,68569.04585136447,False,28526.19735567408,66858.86362167604,False,-4.0,-465.09999999999127,679.75
Jan 08-2019,66439.9,-0.8,66847.06182951615,68538.8452009905,False,28372.29735567408,66820.77601970549,False,-369.8999999999942,440.1499999999942,750.0
Jan 09-2019,66070.35,-0.56,66799.63725858703,68503.8310846644,False,28266.711641388367,66752.55547245954,False,23.0,405.5500000000029,1178.550000000003
Jan 10-2019,66700.7,0.95,66751.09475492548,68478.25475722236,False,28446.811641388365,66747.84133859958,False,95.94999999999709,-88.55000000000291,1185.949999999997
Jan 11-2019,66937.25,0.35,66753.1767938503,68456.39653371566,False,28514.39735567408,66765.0603078178,False,-94.94999999999709,-391.0,700.0
Jan 14-2019,66653.05,-0.42,66761.90508787928,68430.81715025869,False,28433.19735567408,66754.87755256164,False,-3.0500000000029104,344.1000000000058,1041.050000000003
Jan 15-2019,66195.6,-0.69,66739.12325530639,68399.1119424536,False,28302.49735567408,66704.0341386924,False,-7.0,-121.10000000000582,912.9499999999971
Jan 16-2019,65991.2,-0.31,66683.95430379965,68364.95716312803,False,28244.09735567408,66639.2310351749,False,-504.25,177.0,585.6999999999971
Jan 17-2019,65802.8,-0.29,66615.66959756435,68328.61450833188,False,28190.26878424551,66563.191850159,False,-194.6999999999971,300.0,691.0
Jan 18-2019,65739.8,-0.1,66539.9977135348,68291.89373516405,False,28172.26878424551,66488.33804559908,False,-192.8000000000029,-50.0,448.1999999999971
Jan 21-2019,66126.1,0.59,66478.13415699067,68261.17325665108,False,28282.64021281694,66455.40731418098,False,200.75,149.0,797.9499999999971
Jan 22-2019,65259.6,-1.31,66421.72260110546,68218.59774946453,False,28035.068784245508,66346.69755834634,False,-132.09999999999127,401.0,1066.8500000000058
Jan 23-2019,66072.05,1.24,66338.96100740701,68188.15026365653,False,28267.19735567408,66321.72959849666,False,123.09999999999127,-200.0,989.9499999999971
Jan 24-2019,64902.75,-1.77,66281.75834220098,68141.548841477,False,27933.111641388365,66192.73145317879,False,-101.55000000000291,800.0,1688.3999999999942
Jan 25-2019,63920.95,-1.51,66128.73760942728,68081.68219124328,False,27652.59735567408,65986.20586652617,False,-655.0999999999913,800.0,1833.300000000003
Jan 28-2019,62559.95,-2.13,65889.69161676487,68003.35974881428,False,27263.740212816938,65674.72806047834,False,-1658.300000000003,1250.0,1425.0
Jan 29-2019,61868.15,-1.11,65567.50050947895,67916.33549705805,False,27066.083069959794,65328.67550952577,False,-1045.0,950.0,1330.0
Jan 30-2019,61329.4,-0.87,65216.019861370114,67822.90378787993,False,26912.154498531225,64965.10500865979,False,-446.0,350.0,1234.0
Jan 31-2019,61289.2,-0.07,64861.558388697544,67730.22713840645,False,26900.668784245507,64630.93182605435,False,-616.4000000000015,609.8499999999985,1227.449999999997
Feb 01-2019,61275.7,-0.02,64536.418253489435,67638.67356197516,False,26896.811641388365,64325.9107509585,False,932.3000000000029,-471.9499999999971,1687.800000000003
Feb 04-2019,59906.55,-2.23,64201.42171572024,67528.99805045778,False,26505.625927102654,63924.15068268955,False,-755.9000000000015,1212.0999999999985,2144.0
Feb 05-2019,60004.3,0.16,63813.732353599706,67422.26474477754,False,26533.554498531223,63567.80062062686,False,-1544.0,300.0,900.0
Feb 06-2019,59936.0,-0.11,63465.496377792304,67316.07659236935,False,26514.040212816937,63237.6369278426,False,-100.0,-50.0,750.0
Feb 07-2019,59410.55,-0.88,63129.83166226957,67203.94146339958,False,26363.911641388368,62889.71993440236,False,500.0,589.9499999999971,1839.949999999997
Feb 08-2019,56451.35,-4.98,62708.35740103891,67051.42243554993,False,25518.425927102653,62304.41357672942,False,-1611.050000000003,2660.050000000003,2888.949999999997
Feb 11-2019,55345.6,-1.96,62108.39065907508,66885.38240100312,False,25202.49735567408,61671.79416066311,False,-2288.949999999997,1575.0,2175.0
Feb 12-2019,55355.4,0.02,61493.867564588094,66721.8365513435,False,25205.29735567408,61097.57650969373,False,-722.0,-175.0,1278.0
Feb 13-2019,55596.8,0.44,60942.62505871645,66564.034614445,False,25274.26878424551,60597.50591790339,False,-285.3000000000029,-300.0,692.6999999999971
Feb 14-2019,56302.2,1.27,60476.511385004706,66418.47667665145,False,25475.811641388365,60207.023561730355,False,707.3000000000029,-115.0,1285.0
Feb 15-2019,55136.85,-2.07,60064.201771259075,66258.45360322377,False,25142.854498531222,59746.09869248214,False,-191.6999999999971,315.0,1408.300000000003
Feb 18-2019,54460.15,-1.23,59597.19872931363,66091.10177906457,False,24949.511641388366,59265.55790225649,False,-909.3000000000029,745.8000000000029,1244.800000000003
Feb 19-2019,54227.9,-0.43,59123.652045854906,65922.82941340408,False,24883.15449853122,58807.589002051354,False,-95.05000000000291,395.84999999999854,1545.5999999999985
Feb 20-2019,54793.2,1.04,58694.507621711884,65764.96232952601,False,25044.668784245507,58442.64454731941,False,-433.9499999999971,-266.65000000000146,845.0
Feb 21-2019,54710.65,-0.15,58337.51794035267,65608.16357307883,False,25021.083069959794,58103.37231574492,False,280.0,-380.0,745.0
Feb 22-2019,54960.8,0.46,58014.849151921124,65457.137139418126,False,25092.554498531223,57817.68392340447,False,-100.0,-48.5,596.5
Feb 25-2019,55340.15,0.69,57747.89423542125,65313.63377573844,False,25200.94021281694,57592.45356673133,False,318.0,-301.5,613.0
Feb 26-2019,55952.9,1.11,57546.26895921778,65180.85741012512,False,25376.011641388366,57443.40324248303,False,919.0999999999985,455.0,1987.0999999999985
Feb 27-2019,56862.75,1.63,57427.04681311731,65062.87007097441,False,25635.96878424551,57390.616584075484,False,878.9000000000015,-1752.9000000000015,1113.0999999999985
Feb 28-2019,56839.55,-0.04,57375.09358170716,64946.22723308825,False,25629.34021281694,57340.5196218868,False,134.0,-419.09999999999854,828.0
Mar 01-2019,57129.1,0.51,57334.564139580136,64835.34599573948,False,25712.068784245508,57321.29965626072,False,0.0,-335.0,493.0
Mar 05-2019,57663.25,0.93,57330.932060309715,64733.61413764388,False,25864.683069959796,57352.38605114611,False,600.0,-311.5,781.5
